Date of joining,Member ID,Membership fee
01-01-2019,ZF9645,2000
01-02-2019,ZF1433,3000
01-03-2019,ZF7358,1500
01-04-2019,ZF9246,2000
01-05-2019,ZF6551,1000
01-06-2019,ZF7870,3000
01-07-2019,ZF2990,3000
01-08-2019,ZF2311,1500
01-08-2019,ZF7343,2000
01-08-2019,ZF5677,3000
01-08-2019,ZF9434,3000
01-08-2019,ZF1662,3000
01-08-2019,ZF2077,2000
01-08-2019,ZF9136,2000
01-09-2019,ZF5206,1500
01-10-2019,ZF4717,2000
01-11-2019,ZF9545,3000
01-12-2019,ZF7829,1500
01-13-2019,ZF1951,2000
01-14-2019,ZF6890,1500
01-15-2019,ZF2122,1500
01-16-2019,ZF4122,1500
01-17-2019,ZF6326,1500
01-18-2019,ZF4628,1000
01-19-2019,ZF7109,3000
01-20-2019,ZF1733,1500
01-21-2019,ZF7188,2000
01-22-2019,ZF8141,3000
01-23-2019,ZF2531,3000
01-24-2019,ZF1756,1000
01-25-2019,ZF7571,1000
01-26-2019,ZF9477,2000
01-27-2019,ZF7643,1500
01-28-2019,ZF3096,1500
01-29-2019,ZF7867,1500
01-30-2019,ZF9403,2000
01-30-2019,ZF5247,3000
01-30-2019,ZF3650,1500
01-30-2019,ZF1623,2000
01-31-2019,ZF4753,2000
02-01-2019,ZF3288,3000
02-02-2019,ZF2736,1500
02-03-2019,ZF9358,3000
02-04-2019,ZF5258,1000
02-05-2019,ZF1086,2000
02-06-2019,ZF5182,1000
02-07-2019,ZF2857,3000
02-08-2019,ZF1433,3000
02-09-2019,ZF4010,2000
02-10-2019,ZF5243,3000
02-11-2019,ZF9467,3000
02-12-2019,ZF1725,1000
02-13-2019,ZF8347,2000
02-14-2019,ZF9993,2000
02-15-2019,ZF5011,1500
02-16-2019,ZF5497,3000
02-17-2019,ZF9608,1000
02-18-2019,ZF2077,2000
02-19-2019,ZF9136,1500
02-20-2019,ZF5206,1000
02-21-2019,ZF4717,3000
02-21-2019,ZF1131,2000
02-21-2019,ZF6694,3000
02-21-2019,ZF1896,2000
02-21-2019,ZF2855,1500
02-21-2019,ZF6791,1500
02-21-2019,ZF4229,1000
02-21-2019,ZF4554,1500
02-22-2019,ZF3996,2000
02-23-2019,ZF3297,1000
02-24-2019,ZF4340,2000
02-25-2019,ZF5375,1500
02-26-2019,ZF3491,1500
02-27-2019,ZF8024,3000
02-28-2019,ZF4102,1500
03-01-2019,ZF4062,2000
03-02-2019,ZF3567,1500
03-03-2019,ZF3933,1000
